,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
21224,Maximal Restraint Technique,Male,Black,Assaulted Officer                                                              ,North Loop,Disturbance ,OBSTRU,44.98431,-93.279496
21225,Bodily Force,Male,Black,Tensed                                                                         ,Lowry Hill East,Assist EMS Personnel ,FORCE,44.94881,-93.295737
21226,Bodily Force,Male,Unknown,Commission of a Crime                                                          ,Phillips West,Fight ,THREAT,44.948353,-93.270949
21227,Bodily Force,Male,Black,Commission of Crime,Diamond Lake,Domestic Abuse-In Progress ,OBSTRU,44.89927,-93.262751
21228,Police K9 Bite,Male,White,Commission of Crime,Willard - Hay,Attempt Pick-Up ,NARC,44.988731,-93.310817
21229,Bodily Force,Male,Black,Tensed,Folwell,Domestic Abuse-In Progress ,DASLT5,45.019524,-93.303182
21230,Bodily Force,Male,Black,Unspecified,Lind - Bohanon,Domestic ,DASLT5,45.049329,-93.294712
21231,Bodily Force,Male,Black,Tensed,Marcy Holmes,Disturbance ,OBSTRU,44.982177,-93.233526
21232,Bodily Force,Male,Black,Tensed,Near - North,Suspicious Vehicle ,CIC,44.989335,-93.301961
21233,Chemical Irritant,Male,Black,Tensed,Powderhorn Park,Fight ,FORCE,44.94267,-93.261335
21234,Bodily Force,Male,Black,Tensed,North Loop,Disturbance ,DISCON,44.98431,-93.279496
21235,Bodily Force,Male,Black,Unspecified,Jordan,Burglary Dwlng In Progress ,DOMEN,45.01048,-93.301904
21236,Bodily Force,Male,Black,Unspecified,Cleveland,Traffic Law Enforcement ,FINFO,45.024088,-93.308973
21237,Bodily Force,Female,White,Fled on Foot,Marcy Holmes,Emotionally Disturb Person ,CIC,44.981912,-93.242588
21238,Bodily Force,Male,White,Tensed,Downtown West,Disturbance ,STALK,44.980065,-93.271883
21239,Bodily Force,Male,Native American,Assaulted Officer                                                              ,Seward,Check the Welfare ,ASLT4,44.96275,-93.24046
21241,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Suspicious Person ,DISCON,44.981655,-93.271963
21243,Bodily Force,Male,Black,Fled on Foot                                                                   ,Downtown West,Chase on Foot ,ASLT5,44.981028,-93.269582
21244,Bodily Force,Male,Black,Tensed                                                                         ,Ventura Village,Traffic Law Enforcement ,TLE,44.959124,-93.258484
21245,Bodily Force,Male,Black,Tensed                                                                         ,Ventura Village,Attempt Pick-Up ,FORCE,44.964583,-93.265109
21246,Bodily Force,Male,Black,Fled on Foot                                                                   ,McKinley,Chase on Foot ,ASLT4,45.01314,-93.291712
21247,Chemical Irritant,Female,Black,Commission of a Crime                                                          ,Near - North,Property Damage/Hit & Run ,ASLT2,44.999153,-93.293351
21248,Bodily Force,Male,Black,Assaulted Officer                                                              ,Loring Park,Disturbance ,DISCON,44.969381,-93.277816
21249,Bodily Force,Male,White,Assaulted Officer                                                              ,Downtown West,Check the Welfare ,ASLT4,44.983131,-93.265133
21250,Bodily Force,Female,Black,Tensed                                                                         ,King Field,Suspicious Person ,WT,44.923255,-93.277292
21251,Bodily Force,Male,Black,Fled on Foot                                                                   ,Lyndale,Chase on Foot ,FLEEFT,44.94186,-93.275128
21252,Bodily Force,Male,White,Other                                                                          ,Jordan,Domestic Abuse-In Progress ,DTHRET,45.011403,-93.302569
21253,Bodily Force,Male,Black,Commission of a Crime                                                          ,Mid - City Industrial,Person with a Gun ,INFO,44.998699,-93.237799
21254,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Fight ,FORCE,44.980065,-93.271883
21255,Bodily Force,Male,Black,Commission of a Crime                                                          ,Jordan,Domestic Abuse-In Progress ,DASLT5,44.999272,-93.298146
21256,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Downtown West,Disturbance ,DISCON,44.979187,-93.273109
21258,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,McKinley,Disturbance ,CIC,45.013026,-93.288016
21260,Taser,Male,Black,Fled on Foot                                                                   ,Elliot Park,Emotionally Disturb Person ,FLEEFT,44.967167,-93.267659
21261,Bodily Force,Male,Black,Fled on Foot                                                                   ,Ventura Village,Traffic Law Enforcement ,OBSTRU,44.960013,-93.262571
21262,Bodily Force,Male,White,Tensed                                                                         ,Diamond Lake,Down Outside-One ,CIC,44.892516,-93.264735
21263,Chemical Irritant,Male,Black,Other                                                                          ,Downtown West,Fight ,FORCE,44.980808,-93.273141
21264,Bodily Force,Male,Black,Other                                                                          ,Lowry Hill,Burglary Dwlng In Progress ,BURGD,44.961831,-93.299587
21265,Maximal Restraint Technique,Male,Black,Other                                                                          ,McKinley,Shooting ,FINFO,45.014911,-93.288656
21266,Bodily Force,Male,Black,Commission of a Crime                                                          ,Loring Park,Disturbance ,DISCON,44.969381,-93.277816
21267,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Lowry Hill East,Directed Patrol ,FORCE,44.949258,-93.297639
21268,Bodily Force,Male,Black,Tensed                                                                         ,Loring Park,Disturbance ,WT,44.96933,-93.281854
21269,Bodily Force,Male,Black,Commission of Crime,East Phillips,Suspicious Vehicle ,NARC,44.951955,-93.250568
21270,Bodily Force,Male,Black,Tensed,Downtown West,Assist EMS Personnel ,HLTWEL,44.975433,-93.273422
21271,Bodily Force,Female,White,Tensed,McKinley,Domestic Abuse-In Progress ,VDNCO,45.016683,-93.281006
21272,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,WEAP,44.979626,-93.272499
21273,Chemical Irritant,Female,White,Unspecified,Webber - Camden,Domestic ,WT,45.034466,-93.295775
21274,Gun Point Display,Male,Black,Tensed,Elliot Park,High Risk Warrant Entry ,NARC,44.967987,-93.257813
21275,Bodily Force,Male,White,Unspecified,Folwell,Burglary Dwlng In Progress ,DISCON,45.013216,-93.303813
21276,Bodily Force,Female,Black,Tensed,Loring Park,Assault in Progress ,DISCON,44.969381,-93.277816
21277,Bodily Force,Male,Black,Verbal Non-Compliance,Whittier,Person with a Weapon ,DAMMV,44.961802,-93.28546
21278,Bodily Force,Male,White,Tensed,Linden Hills,Domestic Abuse-In Progress ,CIC,44.920624,-93.324004
21279,Bodily Force,Male,Black,Fled in Vehicle,Hawthorne,Unknown Trouble ,FLEE,45.010112,-93.283373
21280,Taser,Male,White,Assaulted Officer,Lyndale,Burglary Dwlng In Progress ,ASLT4,44.944736,-93.283669
21281,Bodily Force,Male,Black,Unspecified,Powderhorn Park,Suspicious Vehicle ,NARC,44.946099,-93.256297
21282,Chemical Irritant,Male,Black,Commission of Crime,North Loop,Disturbance ,DISCON,44.982827,-93.274773
21283,Gun Point Display,Male,Black,Fled in Vehicle,Lind - Bohanon,Motor Vehicle Chase ,FLEE,45.043901,-93.285554
21284,Bodily Force,Male,Black,Assaulted Officer,Steven's Square - Loring Heights,Suspicious Person ,ASLT4,44.963447,-93.279333
21285,Bodily Force,Male,White,Tensed,Webber - Camden,Unwanted Person ,NARC,45.027623,-93.29762
21286,Bodily Force,Male,Black,Tensed,Webber - Camden,Suspicious Vehicle ,OBSTRU,45.032503,-93.293226
21287,Taser,Male,White,Tensed,Downtown West,Disturbance ,OBSTRU,44.976944,-93.278197
21288,Bodily Force,Male,White,Commission of Crime,North Loop,Suspicious Person ,DAMMV,44.978929,-93.281529
21289,Bodily Force,Male,White,Fled on Foot,Cleveland,Unknown Trouble ,OBSTRU,45.017756,-93.308259
21290,Bodily Force,Female,Black,Commission of Crime,Phillips West,Customer Trouble ,TRSPAS,44.948352,-93.265856
21291,Bodily Force,Male,Black,Tensed,Webber - Camden,Assault in Progress ,DASLT2,45.033363,-93.302146
21292,Chemical Irritant,Female,Black,Commission of Crime,Lind - Bohanon,Unknown Trouble ,DISCON,45.039376,-93.291441
21293,Bodily Force,Male,Black,Commission of a Crime                                                          ,Elliot Park,Damage Property-In Progress,OPBOTT,44.967597,-93.262551
21294,Bodily Force,Female,Black,Commission of a Crime                                                          ,Downtown West,Suspicious Person ,DISCON,44.975433,-93.273422
21295,Taser,Male,Black,Other                                                                          ,Hawthorne,Unknown Trouble ,DOMEN,45.005359,-93.283381
21296,Chemical Irritant,Male,Unknown,Commission of a Crime                                                          ,Downtown West,Disturbance ,FORCE,44.979626,-93.272499
21297,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Near - North,Suspicious Person ,CIC,44.991587,-93.294078
21299,Taser,Male,Black,Fled on Foot                                                                   ,Downtown West,Disturbance ,ASLT4,44.979626,-93.272499
21300,Taser,Male,Native American,Tensed                                                                         ,Loring Park,Burglary Dwlng In Progress ,BURGD,44.966928,-93.283228
21301,Bodily Force,Male,White,Tensed                                                                         ,Windom,Domestic ,CIC,44.904048,-93.278707
21302,Taser,Male,Black,Fled on Foot                                                                   ,Willard - Hay,Suspicious Person ,FLEEFT,44.985379,-93.309676
21303,Bodily Force,Female,White,Other                                                                          ,East Isles,Check the Welfare ,CIC,44.960919,-93.293726
